incident_id,year,date_of_incident,route,borough,injury_result_description,incident_event_type,operator_id,bus_garage_id,victim_id
1,2015,2015-05-01,U2,Hillingdon,"Injuries treated on scene","Onboard Injuries",9,1,1
2,2015,2015-05-01,381,Southwark,"Injuries treated on scene","Onboard Injuries",10,1,1
3,2015,2015-05-01,K2,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,1
4,2015,2015-05-01,H91,Hounslow,"Injuries treated on scene","Onboard Injuries",5,1,1
5,2015,2015-05-01,237,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",2,1,1
6,2015,2015-05-01,220,Brent,"Injuries treated on scene","Onboard Injuries",5,1,1
7,2015,2015-05-01,217,Haringey,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",2,1,1
8,2015,2015-05-01,124,Lewisham,"Injuries treated on scene","Onboard Injuries",3,1,1
9,2015,2015-05-01,174,"Barking & Dagenham","Injuries treated on scene","Onboard Injuries",3,1,1
10,2015,2015-05-01,55,"None London Borough","Injuries treated on scene","Onboard Injuries",3,1,1
11,2015,2015-05-01,136,Lewisham,"Injuries treated on scene","Onboard Injuries",3,1,1
12,2015,2015-05-01,9,Westminster,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",5,1,1
13,2015,2015-05-01,17,"City of London","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",2,1,1
14,2015,2015-05-01,15,"None London Borough","Injuries treated on scene","Onboard Injuries",3,1,1
15,2015,2015-04-01,259,Haringey,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",1,1,1
16,2015,2015-04-01,297,Brent,"Injuries treated on scene","Onboard Injuries",2,1,1
17,2015,2015-04-01,161,Greenwich,"Injuries treated on scene","Onboard Injuries",11,1,1
18,2015,2015-04-01,69,Newham,"Injuries treated on scene","Onboard Injuries",3,1,1
19,2015,2015-04-01,18,Camden,"Injuries treated on scene","Onboard Injuries",9,1,1
20,2015,2015-04-01,115,"Tower Hamlets","Injuries treated on scene","Onboard Injuries",3,1,1
21,2015,2015-01-01,343,"None London Borough","Injuries treated on scene","Onboard Injuries",10,1,1
22,2015,2015-01-01,H98,Hillingdon,"Injuries treated on scene","Onboard Injuries",5,1,1
23,2015,2015-01-01,321,Lewisham,"Injuries treated on scene","Onboard Injuries",8,1,1
24,2015,2015-01-01,499,"None London Borough","Injuries treated on scene","Onboard Injuries",15,1,1
25,2015,2015-01-01,118,Lambeth,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",1,1,1
26,2015,2015-01-01,387,"Barking & Dagenham","Injuries treated on scene","Onboard Injuries",4,1,1
27,2015,2015-01-01,370,"None London Borough","Reported Minor Injury - Treated at Hospital","Onboard Injuries",15,1,1
28,2015,2015-01-01,109,Lambeth,"Injuries treated on scene","Onboard Injuries",12,1,1
29,2015,2015-01-01,209,"Hammersmith & Fulham","Taken to Hospital â€“ Reported Serious Injury or Severity Unknown","Onboard Injuries",2,1,1
30,2015,2015-01-01,68,Southwark,"Injuries treated on scene","Onboard Injuries",8,1,1
31,2015,2015-01-01,12,Southwark,"Reported Minor Injury - Treated at Hospital","Onboard Injuries",8,1,1
32,2015,2015-01-01,1,Southwark,"Injuries treated on scene","Onboard Injuries",1,1,1
33,2015,2015-06-01,24,Camden,"Injuries treated on scene","Onboard Injuries",2,1,2
34,2015,2015-05-01,228,Westminster,"Injuries treated on scene","Onboard Injuries",9,1,2
35,2015,2015-04-01,24,Westminster,"Injuries treated on scene","Onboard Injuries",2,1,2
36,2015,2015-05-01,94,"Hammersmith & Fulham","Injuries treated on scene","Onboard Injuries",5,1,2
37,2015,2015-05-01,82,Barnet,"Injuries treated on scene","Onboard Injuries",2,1,2
38,2015,2015-05-01,4,Islington,"Injuries treated on scene","Onboard Injuries",2,1,2
39,2015,2015-05-01,71,"Kingston upon Thames","Injuries treated on scene","Onboard Injuries",5,1,2
